title,authors,journal,year,doi,abstract,tags
Nitrogen deposition in the middle-aged and mature coniferous forest: Impacts on soil microbial community structure and function,Jun Zhang; Fei Yu; Zhaoyong Hu; Shouqin Sun; Xiangyang Sun; Juying Sun; Wei Zhang; Genxu Wang,Applied Soil Ecology,2024,10.1016/j.apsoil.2024.105610,,氮添加/氮沉降；微生物群落
Overview of recent researches on nitrifying microorganisms in soil,Masahito Hayatsu; Chie Katsuyama; Kanako Tago,Soil Science & Plant Nutrition,2021,10.1080/00380768.2021.1981119,"Nitrogen cycle, a most important elemental cycle in earth ecosystem, is carried out by three major microbial processes including nitrogen fixation, nitrification and denitrification. Nitrification is particularly important in agricultural soil ecosystems because it is involved in nitrogen loss, groundwater pollution by nitrogen leaching, and greenhouse gas nitrous oxide emission. Recent genomic, metagenomic and physiological analysis of nitrifying microorganisms gives new insights into their ecology and functions in soils. In the last decade, there have been a number of important findings regarding nitrification. The discovery of nitrifying archaea and complete nitrifying bacteria has overturned the conventional theory that nitrification is driven by ammonia-oxidizing and nitrite-oxidizing bacteria. Each of the newly discovered nitrifying microorganisms has unique properties, for example, a different affinity for ammonia. These nitrifying microorganisms have been shown to actually play important roles in nitrification in agricultural soils. Soil conditions and agricultural practices such as fertilization and tillage have been shown to influence the contribution of each nitrifying microorganism to the activity of nitrification. In addition, nitrification inhibition technologies have been developed to prevent the loss of nitrogen fertilizer and the of nitrous oxide emission. This review provides an overview of recent researches on the diversity and characteristics of nitrifying microorganisms, soil factors affecting their ecology in soil, their involvement in nitrous oxide emissions, and nitrification control technologies.",宏基因组/功能基因；氮添加/氮沉降；氮循环过程；微生物群落
Plant developmental stage drives the differentiation in ecological role of the maize microbiome,Chao Xiong; Brajesh K. Singh; Ji‐Zheng He; Yan-Lai Han; Peipei Li; Li-Hua Wan; Guo-Zhong Meng; Si‐Yi Liu,Microbiome,2021,10.1186/s40168-021-01118-6,"BACKGROUND: Plants live with diverse microbial communities which profoundly affect multiple facets of host performance, but if and how host development impacts the assembly, functions and microbial interactions of crop microbiomes are poorly understood. Here we examined both bacterial and fungal communities across soils, epiphytic and endophytic niches of leaf and root, and plastic leaf of fake plant (representing environment-originating microbes) at three developmental stages of maize at two contrasting sites, and further explored the potential function of phylloplane microbiomes based on metagenomics. RESULTS: Our results suggested that plant developmental stage had a much stronger influence on the microbial diversity, composition and interkingdom networks in plant compartments than in soils, with the strongest effect in the phylloplane. Phylloplane microbiomes were co-shaped by both plant growth and seasonal environmental factors, with the air (represented by fake plants) as its important source. Further, we found that bacterial communities in plant compartments were more strongly driven by deterministic processes at the early stage but a similar pattern was for fungal communities at the late stage. Moreover, bacterial taxa played a more important role in microbial interkingdom network and crop yield prediction at the early stage, while fungal taxa did so at the late stage. Metagenomic analyses further indicated that phylloplane microbiomes possessed higher functional diversity at the early stage than the late stage, with functional genes related to nutrient provision enriched at the early stage and N assimilation and C degradation enriched at the late stage. Coincidently, more abundant beneficial bacterial taxa like Actinobacteria, Burkholderiaceae and Rhizobiaceae in plant microbiomes were observed at the early stage, but more saprophytic fungi at the late stage. CONCLUSIONS: Our results suggest that host developmental stage profoundly influences plant microbiome assembly and functions, and the bacterial and fungal microbiomes take a differentiated ecological role at different stages of plant development. This study provides empirical evidence for host exerting strong effect on plant microbiomes by deterministic selection during plant growth and development. These findings have implications for the development of future tools to manipulate microbiome for sustainable increase in primary productivity. Video Abstract.",宏基因组/功能基因；微生物群落
"Impacts of Land Use on Soil Nitrogen-Cycling Microbial Communities: Insights from Community Structure, Functional Gene Abundance, and Network Complexity",Junnan Ding; Shaopeng Yu,Life,2025,10.3390/life15030466,"This study investigates the effects of different land-use types (forest, arable land, and wetland) on key soil properties, microbial communities, and nitrogen cycling in the Lesser Khingan Mountains. The results revealed that forest (FL) and wetland (WL) soils had significantly higher soil organic matter (SOM) content compared with arable land (AL), with total phosphorus (TP) being highest in FL and available nitrogen (AN) significantly higher in WL. In terms of enzyme activity, AL and WL showed reduced activities of ammonia monooxygenase (AMO), β-D-glucosidase (β-G), and β-cellobiosidase (CBH), while exhibiting increased N-acetyl-β-D-glucosaminidase (NAG) activity, highlighting the impact of land use on nitrogen dynamics. WL also exhibited significantly higher microbial diversity and evenness compared with FL and AL. The dominant bacterial phyla included Actinobacteriota, Proteobacteria, and Acidobacteriota, with Acidobacteriota being most abundant in FL and Proteobacteria most abundant in WL. Network analysis showed that AL had the most complex and connected microbial network, while FL and WL had simpler but more stable networks, suggesting the influence of land use on microbial community interactions. Regarding nitrogen cycling genes, AOA-amoA was most abundant in AL, while AOB-amoA was significantly enriched in FL, reflecting the influence of land use on ammonia oxidation. These findings highlight how land-use types significantly affect soil properties, microbial community structures, and nitrogen cycling, offering valuable insights for sustainable land management.",宏基因组/功能基因；氮循环过程；滨海湿地/盐沼；微生物群落
Effects of nitrogen deposition with phosphorus addition on desert steppe plant communities,Leren Liu; Kuo Sun; Ruojun Sun; Quanhui Ma; Yuhui Wang; Bingrui Jia; Guangsheng Zhou; Zhenzhu Xu,"Agriculture, Ecosystems & Environment",2024,10.1016/j.agee.2024.108954,,氮添加/氮沉降
Exploring the Role of Cryptic Nitrogen Fixers in Terrestrial Ecosystems: A Frontier in Nitrogen Cycling Research,Cory C. Cleveland; Carla Roberta Gonçalves Reis; Steven S. Perakis; Katherine A. Dynarski; Sarah A. Batterman; Timothy E. Crews; Maga Gei; Michael J. Gundale,Ecosystems,2022,10.1007/s10021-022-00804-2,,背景文献
Host preference and invasiveness of commensal bacteria in the Lotus and Arabidopsis root microbiota,Kathrin Wippel; Ke Tao; Yulong Niu; Rafal Zgadzaj; Niklas Kiel; Rui Guan; Eik Dahms; Pengfan Zhang,Nature Microbiology,2021,10.1038/s41564-021-00941-9,"Roots of different plant species are colonized by bacterial communities, that are distinct even when hosts share the same habitat. It remains unclear to what extent the host actively selects these communities and whether commensals are adapted to a specific plant species. To address this question, we assembled a sequence-indexed bacterial culture collection from roots and nodules of Lotus japonicus that contains representatives of most species previously identified using metagenomics. We analysed taxonomically paired synthetic communities from L. japonicus and Arabidopsis thaliana in a multi-species gnotobiotic system and detected signatures of host preference among commensal bacteria in a community context, but not in mono-associations. Sequential inoculation experiments revealed priority effects during root microbiota assembly, where established communities are resilient to invasion by latecomers, and that host preference of commensal bacteria confers a competitive advantage in their cognate host. Our findings show that host preference in commensal bacteria from diverse taxonomic groups is associated with their invasiveness into standing root-associated communities.",宏基因组/功能基因
Novel Metal Resistance Genes from Microorganisms: A Functional Metagenomic Approach,José E. González-Pastor; Salvador Mirete,Methods in Molecular Biology,2010,10.1007/978-1-60761-823-2_19,,宏基因组/功能基因；微生物群落
"Nitrogen, Sulfur, and Carbon-Cycling Capabilities of Microbial Communities From Desert Cave Systems",Katelyn Mary Green; Abigail R. Brown; Zoe E. Havlena; Mackenzie B. Best; Diana E. Northup; Daniel S. Jones,New Mexico Geological Society Annual Spring Meeting,2024,10.56577/sm-2024.3008,,背景文献
Response of rhizosphere soil physicochemical properties and microbial community structure to continuous cultivation of tobacco,Bo Gong; Yi He; Zhenbao Luo; Huawei Peng; Heqing Cai; Yuening Zhu; Jun Bin; Mengjiao Ding,Annals of Microbiology,2024,10.1186/s13213-023-01748-1,"Abstract Purpose The health of rhizosphere soil microorganisms is an important indicator to evaluate soil quality. Therefore, understanding the response of rhizosphere soil microorganisms to tobacco crop succession is crucial for promoting the sustainable development of agriculture. Methods The microbial diversity and community structure of rhizosphere soil in continuous cropping and non-cropped tobacco for 7 years were analyzed by the Illumina platform. Result (1) Continuous cropping tobacco cause rhizosphere soil acidification and reduction in alkaline nitrogen (AN) and soil organic matter (SOM). (2) Continuous cropping tobacco reduces the diversity of rhizosphere soil microbial communities, increasing harmful functional microorganisms and declining beneficial ones. (3) The abundance of bacteria that perform nitrification and saprophytic fungi in the rhizosphere soil of continuous cropping areas decreases, inhibiting carbon and nitrogen cycling processes. (4) The composition and diversity of the soil rhizosphere microbial community are affected by the imbalance in the physicochemical property of the rhizosphere. Conclusion Continuous cropping tobacco cause rhizosphere soil acidification and nutrient imbalance, and the carbon and nitrogen cycles involved in microorganisms were damaged. Furthermore, the decreased diversity of rhizosphere soil microorganisms and the increased abundance of pathogenic fungi contribute to the continuous cropping obstacles of tobacco.",氮循环过程；微生物群落
"Changes of physiological characteristics, element accumulation and hormone metabolism of tea leaves in response to soil pH",Xiaoli Jia; Qi Zhang; Yuhua Wang; Ying Zhang; Mingzhe Li; Pengyuan Cheng; Meihui Chen; Shaoxiong Lin,Frontiers in Plant Science,2023,10.3389/fpls.2023.1266026,"Soil acidification is very likely to affect the growth of tea trees and reduce tea yield. In this study, we analyzed the effects of soils with different pH on the physiological characteristics of tea leaves and determined the multi-element content and hormone metabolomes of tea leaves by ICP-MS and LC-MS/MS, based on which we further analyzed their interaction. The results showed that increasing soil pH (3.29~5.32) was beneficial to increase the available nutrient content of the rhizosphere soil of tea tree, improve the antioxidant enzyme activity and photosynthesis capacity of tea tree leaves, and promote the growth of tea tree. Orthogonal partial least squares discriminant analysis (OPLS-DA) and bubble characteristics analysis were used to screen key elements and hormones for the effect of pH on tea leaves, which were further analyzed by redundancy analysis (RDA) and interaction network. The results showed that an increase in soil pH (3.29~5.32) favored the accumulation of seven key elements (C, K, Ca, Mg, Mn, P, S) in tea tree leaves, which in turn promoted the synthesis of six key hormones (salicylic acid, salicylic acid 2-O-β-glucoside, tryptamine, 2-oxindole-3-acetic acid, indole-3-acetic acid, trans-zeatin-O-glucoside). It can be seen that the increase in soil pH (3.29~5.32) enhanced the resistance of the tea tree itself, improved the photosynthesis ability of the tea tree, and effectively promoted the growth of the tea tree.",背景文献
The Effects of Rock Zones and Tea Tree Varieties on the Growth and Quality of Wuyi Rock Tea Based on the OPLS-DA Model and Machine Learning,Jianghua Ye; Qi Zhang; Miao Jia; Yuhua Wang; Ying Zhang; Xiaoli Jia; Xinyu Zheng; Haibin Wang,Agriculture,2024,10.3390/agriculture14040573,"Rock zones have an important influence on the yield and quality of Wuyi rock tea. In this study, OPLS-DA combined with machine learning was used to analyze the effects of different rock zones and tea tree varieties on the physicochemical properties of rhizosphere soil, the growth of the tea tree and the quality of the tea leaves using tea trees in different rock zones. The results showed that rock zones had significant effects on rhizosphere soil physicochemical indexes, soil enzyme activities, tea tree growth and tea quality indexes, while there was little difference between different tea tree varieties. The interaction analysis showed that the physicochemical indexes of rhizosphere soil in different rock zones significantly affected tea quality, while also affecting growth indexes. The main indexes affecting tea yield and caffeine content were soil pH, available nitrogen, total phosphorus, total nitrogen and available phosphorus, while the main indexes affecting tea quality were available potassium, organic matter, total potassium, protease, polyphenol oxidase and urease. Analyses of PCA, OPLS-DA models and KNN and ANN machine learning showed that different rock zones could be effectively distinguished from each other with 100% accuracy, while different tea varieties had little difference and could not be distinguished. TOPSIS analysis found that the physicochemical indexes most affected by rock zone were available nitrogen, available potassium and sucrose, and the quality indexes most affected by rock zone were tea polyphenols and theanine. The growth index most affected by rock zone was tea yield. It was evident that the key difference between tea trees in different rock zones was yield and quality, with high yields in continent zones, and good quality in semi-rock zones and rock zones. This study provides a crucial foundation for tea-plantation management, the artificial regulation of tea yield and the quality of different rock zones of Wuyi rock tea.",背景文献
Impact of environmental factors on the diversity of nitrogen-removal bacteria in wetlands in the Sanmenxia Reservoir of the Yellow River,Tao Li; Yiqiao Zhou; Fan Yang; Qingsong Guan; Qingbin Li; Hongyan Liang; Jun Zhao,Journal of Soils and Sediments,2022,10.1007/s11368-022-03405-7,,滨海湿地/盐沼
Nanoscale‑boron nitride positively alters rhizosphere microbial communities and subsequent cucumber (Cucumis sativa) growth: A metagenomic analysis,Xinxin Xu; Yi Hao; Zeyu Cai; Yini Cao; Weili Jia; Jian Zhao; Jason C. White; Chuanxin Ma,The Science of The Total Environment,2024,10.1016/j.scitotenv.2024.178115,,宏基因组/功能基因
Community metagenomics reveals the processes of nutrient cycling regulated by microbial functions in soils with P fertilizer input,Lei Liu; Ya Gao; Wenjie Yang; Jinshan Liu; Zhaohui Wang,Plant and Soil,2023,10.1007/s11104-023-05875-1,,宏基因组/功能基因
Processes and Microorganisms Involved in the Marine Nitrogen Cycle: Knowledge and Gaps,Silvia Pajares; Ramiro Ramos,Frontiers in Marine Science,2019,10.3389/fmars.2019.00739,,微生物群落
Intensifying anoxic ammonium removal by manganese ores and granular active carbon fillings in constructed wetland-microbial fuel cells: Metagenomics reveals functional genes and microbial mechanisms,Yifei Wang; Dongpeng Li; Xinshan Song; Xin Cao; Zhongshuo Xu; Wei Huang; Yuhui Wang; Zhiwei Wang,Bioresource Technology,2022,10.1016/j.biortech.2022.127114,,宏基因组/功能基因；滨海湿地/盐沼
Partitioning of the denitrification pathway and other nitrite metabolisms within global oxygen deficient zones,Irene H. Zhang; Xin Sun; Amal Jayakumar; Samantha G. Fortin; Bess B. Ward; Andrew R. Babbin,ISME Communications,2023,10.1038/s43705-023-00284-y,"Abstract Oxygen deficient zones (ODZs) account for about 30% of total oceanic fixed nitrogen loss via processes including denitrification, a microbially mediated pathway proceeding stepwise from NO3− to N2. This process may be performed entirely by complete denitrifiers capable of all four enzymatic steps, but many organisms possess only partial denitrification pathways, either producing or consuming key intermediates such as the greenhouse gas N2O. Metagenomics and marker gene surveys have revealed a diversity of denitrification genes within ODZs, but whether these genes co-occur within complete or partial denitrifiers and the identities of denitrifying taxa remain open questions. We assemble genomes from metagenomes spanning the ETNP and Arabian Sea, and map these metagenome-assembled genomes (MAGs) to 56 metagenomes from all three major ODZs to reveal the predominance of partial denitrifiers, particularly single-step denitrifiers. We find niche differentiation among nitrogen-cycling organisms, with communities performing each nitrogen transformation distinct in taxonomic identity and motility traits. Our collection of 962 MAGs presents the largest collection of pelagic ODZ microorganisms and reveals a clearer picture of the nitrogen cycling community within this environment.",宏基因组/功能基因；氮循环过程；微生物群落
Biocatalysis,Elizabeth L. Bell; William Finnigan; Scott P. France; Anthony P. Green; Martin A. Hayes; Lorna J. Hepworth; Sarah L. Lovelock; Haruka Niikura,Nature Reviews Methods Primers,2021,10.1038/s43586-021-00044-z,,背景文献
